SMILES,CB1
CCCCCC(=O)N1C(=O)C(N(C1=O)c2ccccc2)c3ccccc3,1
O=C1C(NC(=S)N1c2ccccc2)c3ccccc3,1
O=C1C(N(C2CCCCC2)C(=O)N1C3CCCCC3)c4ccccc4,1
O=C1C(N(C(=S)N1c2ccccc2)c3ccccc3)c4ccccc4,0
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)NCCO,1
O=C(C1=CN(CCCc2ccccc2)c3ccccc3C1=O)c4cccc5ccccc45,1
O=C(NCCc1ccccc1)C2=CN(CCN3CCOCC3)c4ccccc4C2=O,1
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(Cc5ccc(Cl)cc5)c6ccccc6C4=O,1
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5cnccc15,1
O=C(NC12CC3CC(CC(C3)C1)C2)C4=CN(CCN5CCOCC5)c6ccccc6C4=O,1
O=C(C1=CN(Cc2ccccc2)c3ccccc3C1=O)c4cccc5ccccc45,1
CCCCCN1C=C(NC(=O)C23CC4CC(CC(C4)C2)C3)C(=O)c5ccccc15,0
CCCCCN1C(=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ccccc15)c6ccccc6,1
Clc1ccc(CN2C=C(C(=O)c3cccc4ccccc34)C(=O)c5ccccc25)cc1,0
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(CCCc5ccccc5)c6ccccc6C4=O,1
CCCCCC#Cc1cc(F)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,0
CCCCC\C=C\c1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,1
CCCCCN1C=C(C(=O)c2ccc(OC)cc2)C(=O)c3ccccc13,1
CCCCCN1C=C(NC(=O)CCc2ccccc2)C(=O)c3ccccc13,1
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(Cc5ccc(Br)cc5)c6ccccc6C4=O,1
CN\C(=N\S(=O)(=O)c1ccc(Cl)cc1)\c2oc(c3ccccc3)c(n2)c4ccc(Cl)cc4,1
CN\C(=N\S(=O)(=O)c1ccc(Cl)cc1)\C2CN(C(=N2)c3ccc(Cl)cc3)c4ccccc4,1
CN\C(=N\S(=O)(=O)c1ccc(Cl)cc1)\c2oc(c3ccc(Cl)cc3)c(n2)c4ccccc4,1
CN\C(=N\S(=O)(=O)c1ccc(Cl)cc1)\c2cn(c3ccc(Cl)cc3)c(n2)c4ccccc4,1
O=CCCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cn(CCC#N)c5ccccc45,0
NCCCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
FCCCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
CC(C)(C)NC(=O)c1cc2ccccc2n1CCCCCO,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc5ccccc5n4CCC#N,0
FC(F)(F)CCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
COc1cccc2c1c(cn2CCN3CCOCC3)C(=O)NC45CC6CC(CC(C6)C4)C5,0
OCCCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc5ccccc5n4CCCCC#N,0
FC(F)CCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
O=C(Nc1ccccc1)c2cc3ccccc3n2CCCCC#N,0
NC(=N)NCCCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
OC(=O)CCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
COc1cccc2c(cn(CCN3CCOCC3)c12)C(=O)NC45CC6CC(CC(C6)C4)C5,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cn(CC#N)c5ccccc45,0
Fc1c([nH]c2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
COc1ccc2c(c1)c(cn2CCN3CCOCC3)C(=O)NC45CC6CC(CC(C6)C4)C5,0
OCCCCn1c(cc2ccccc12)C(=O)NC34CC5CC(CC(C5)C3)C4,0
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc5ccccc5n4CCCC#N,0
OCCCCn1c(C(=O)NC23CC4CC(CC(C4)C2)C3)c(F)c5ccccc15,0
